year,Date.Band,date,local,species,band,recap,colors,sex,CP.BP,bill.length,tarsus,chord,mass,nest,present.2016,hct1,hct2,hct,treatment,capture.number,date.of.chicks,hatch.date,Blood.OD,phil.215cal,phil.216cal,klh.215cal,klh.216cal,igg,pox.1,poxnotes,nest1egg,nest1nestling,nest1fledge,nest2egg,nest2nestling,nest2fledge,intensity1,intensity2,scaledmass,repeat.,Date.second.nest,,second.clutch.age,Gravid,total.nests,total.eggs,total.nestlings,total.fledglings,nestage
2016,27-Jan-16-DC578,1/27/16,TT,GAMO,DC578,1,WRGyS,F,BP3,16.2,35.85,99,36.5,103,,26.9,62.14,0.433,P,1,2,1/26/16,0.032333333,0.379304979,0.142,1.067601334,1.6105,3.084505603,0.1045,0,3,3,3,NA,NA,NA,0,NA,34.27031879,,,,,,,,,,17
2016,26-Jan-16-DC548,1/26/16,Rohan ,GAMO,DC548,1,WYSBl,M,CP2,15.04,33.76,105.4,45.8,122,,27.78,61.44,0.452,W,1,1,1/26/16,0.010333333,0.38553769,0.144333333,1.198524193,1.808,2.218,0.140166667,0,4,3,1,NA,NA,NA,60,NA,48.46222334,,,,,,,,,,16
2016,02-Feb-16-DC445,2/2/16,Helms Deep,GAMO,DC445,1,WSBlBk,F,BP5,15.93,34.17,99.5,37.1,140,,23.47,56.34,0.417,P,2,12,1/22/16,0.087259615,0.396863799,0.203492958,1.324175975,2.03842207,1.830195507,0.026397727,0,2,2,2,NA,NA,NA,0,NA,38.32473054,,,,,,,,,,27
2016,15-Feb-16-DC440,2/15/16,Rivendale,GAMO,DC440,1,RSWW,F,BP3,14.98,33.49,103,43,1,,19.66,46.09,0.427,W,1,2,2/14/16,0.008211974,0.398500555,0.261518709,0.530115085,0.708078706,1.242308563,NA,0,4,3,0,NA,NA,NA,0,NA,46.23235542,,,,,,,,,,17
2016,10-Feb-16-DC457,2/10/16,UR,GAMO,DC457,1,GSBlR,M,CP0/BP0,15.27,36.81,112,43.4,75,,18.86,39.94,0.472,W,2,11,1/31/16,NA,0.30999784,0.203438198,0.503920965,0.673091023,0.795679677,NA,0,3,3,1,NA,NA,NA,115,NA,38.66130069,,,,,,,,,,26
2016,02-Feb-16-DC639,2/2/16,Helms Deep,GAMO,DC639,1,RRSO,M,CP2,16.77,36.86,108,47.4,140,,24.75,58.37,0.424,P,2,12,1/22/16,0.011538462,0.41916816,0.214929577,1.316639215,2.026820063,1.462049981,0.042340909,0,2,2,2,NA,NA,NA,0,NA,42.11064965,,,,,,,,,,27
2016,20-Jan-16-DC442,1/20/16,Shire,GAMO,DC442,1,RORS,F,BP4,14.54,31.57,102.5,42.9,108,,28.52,64.97,0.439,P,1,1,1/20/16,0.057,0.454987898,0.170333333,1.610185433,2.429,1.071715403,0.0415,0,4,4,0,NA,NA,NA,9,NA,51.87517591,,,,,,,,,,16
2016,23-Jan-16-DC062,1/23/16,TT,GAMO,DC062,1,SRGGy,F,BP5,15.1,35.07,103,43.1,74,,21.4,51.98,0.412,W,1,0,1/24/16,0.006,0.454987898,0.170333333,1.034787757,1.561,1.57115559,NA,empty,4,3,0,NA,NA,NA,27,NA,42.27793866,,,,,,,,,,15
2016,05-Feb-16-DC679,2/5/16,UR,GAMO,DC679,0,OSOG,F,BP5,14.18,32.12,101,36.3,40,,NA,NA,NA,W,1,11,1/26/16,0.012259615,0.465315114,0.238591549,0.470228291,0.723864308,0.530675312,0.048352273,0,4,2,0,NA,NA,NA,48,NA,42.41134206,,,,,,,,,,26
2016,29-Jan-16-DC660,1/29/16,Mordor,GAMO,DC660,0,GSGBl,F,BP4,15.2,30.47,101,44.4,51,,15.87,40.08,0.396,P,1,1,1/29/16,0.035336538,0.571453106,0.293014085,2.034925218,3.132541711,1.083132967,0.076166667,0,4,3,3,NA,NA,NA,0,NA,57.61499048,,,,,,,,,,16
2016,05-Feb-16-DC435,2/5/16,Rivendale,GAMO,DC435,1,SGyGyGy,F,BP5,14.36,34.85,100,39.9,25,,19.77,56.02,0.353,P,1,11,1/26/16,0.012980769,0.575298686,0.294985915,0.802173419,1.234857022,0.476578506,0.032409091,0,5,3,3,NA,NA,NA,0,NA,39.6321896,,,,,,,,,,26
2016,10-Feb-16-DC697,2/10/16,UR,GAMO,DC697,0,GyYSBk,F,BP5,15.07,32.99,102.5,41.2,75,,13.63,42.35,0.322,W,1,11,1/31/16,0.002642934,0.61769175,0.405364426,1.518164031,2.027823112,1.103190077,NA,0,3,3,1,NA,NA,NA,115,NA,45.64309822,,,,,,,,,,26
2016,23-Jan-16-DC641,1/23/16,UR,GAMO,DC641,0,GSGyW,F,BP4,14.65,35.03,99.5,45.2,89,,26.61,63.69,0.418,P,1,1,1/23/16,0.028333333,0.645530775,0.241666667,0.919001128,1.386333333,3.024387803,0.058833333,0,4,4,2,NA,NA,NA,0,NA,44.43869223,,,,,,,,,,16
2016,09-Feb-16-DC456,2/9/16,Rohan,GAMO,DC456,1,SRBlBk,F,BP4,15.18,35.62,101,43.7,91,,21.16,61.66,0.343,W,1,5,2/5/16,NA,0.655825774,0.43039014,1.355356204,1.810359474,0.869002646,0.064556818,0,3,3,0,NA,NA,NA,22,NA,41.55939858,,,,,,,,,,20
2016,27-Jan-16-DC434,1/27/16,TT,GAMO,DC434,1,OGGyS,M,CP2,14.71,34.41,108,44.7,100,,31.42,65.56,0.479,P,1,-3,1/31/16,0.002265372,0.681566241,0.447282497,1.644165328,2.196123993,1.868202352,0.006272727,0,3,2,2,NA,NA,NA,0,NA,45.5369284,,,,,,,,,,12
2016,22-Jan-16-DC640,1/22/16,Helm's deep,GAMO,DC640,0,WSWBl,F,BP5,14.22,31.74,99.5,39.8,92,,29.01,67.36,0.431,P,1,5,1/18/16,0.052333333,0.690050138,0.258333333,2.127247862,3.209,1.908740162,0.0475,0,4,3,3,NA,NA,NA,0,NA,47.61502369,,,,,,,,,,20
2016,27-Jan-16-DC433,1/27/16,TT,GAMO,DC433,1,GWSGy,M,CP3,15.17,34.49,110,46.8,103,,27.87,62.47,0.446,P,1,2,1/26/16,0.038,0.699844398,0.262,0.797800811,1.2035,2.496044827,0.069833333,0,3,3,3,NA,NA,NA,0,NA,47.45643438,,,,,,,,,,17
2016,07-Feb-16-DC660,2/7/16,Rohan,GAMO,DC660,1,GSGBl,F,BP5,15.77,31.22,102.5,37,51,,27.75,58.67,0.473,P,2,10,1/29/16,0.306105611,0.741627329,0.486697996,1.849170114,2.469950426,1.313958765,0.0115,0,4,3,3,NA,NA,NA,0,NA,45.74450831,,,,,,,,,,25
2016,28-Jan-16-DC649,1/28/16,Pony,GAMO,DC649,0,WSRGy,F,BP4,14.81,33.49,101,40,137,,27.4,62.61,0.438,W,2,1,1/28/16,0.075,0.812955496,0.41684507,2.281999874,3.512885744,1.324893033,0.048166667,0,3,3,0,NA,NA,NA,28,NA,43.00684225,,,,,,,,,,16
